serie_id,nome_serie,serie_original,nome_series_en,data_lancamento,poster,nota_omdb,nota_imdb_pt,nota_imdb_en,nota_adorocinema,nota_filmow,nota_rottentomatoes,nota_trakt,NaN_count,nota_score,streaming,studio,serie_type,data,ranking
226174,Matlock,Matlock,Matlock,,https://image.tmdb.org/t/p/w500/f9NP3iSKIrKC8O3LtR6aYs2AX72.jpg,"7,7","7,1",,,,,"7,05419",4,"7,377095000000001",N/A,Cloud Nine Productions,Cinema,2025-02-06,1
243875,Georgie e Mandy - Seu Primeiro Casamento,Georgie & Mandy's First Marriage,Georgie & Mandy's First Marriage,,https://image.tmdb.org/t/p/w500/vGYJfuPkhyuV1fDLFwkNcZx2qcY.jpg,"7,3","6,7",,"7,4",,,,5,"7,35",Max,Chuck Lorre Productions,Streaming,2025-02-05,1
215943,The Traitors,The Traitors,The Traitors,,https://image.tmdb.org/t/p/w500/9Yhs5qPYa1cbWsmD3ysrPpltRBU.jpg,"7,2","7,7",,,,,"7,49606",4,"7,34803",Claro tv+,Studio Lambert,Streaming,2025-02-06,1
81144,A Boa Vizinhança,The Neighborhood,The Neighborhood,,https://image.tmdb.org/t/p/w500/wUqjWOybvgVU8UIE7X381pLc99g.jpg,"7,632",,"6,7",,,"7,4","7,34799",4,"7,34799",Paramount+ Amazon Channel,Kapital Entertainment,Streaming,2025-02-05,1
138503,Seu Amigão da Vizinhança: Homem-Aranha,Your Friendly Neighborhood Spider-Man,Your Friendly Neighborhood Spider-Man,,https://image.tmdb.org/t/p/w500/fEhEJowHEcWgqWknxwbdsiHyGty.jpg,"8,1",,,,9,"6,4","6,59551",4,"7,347754999999999",Disney Plus,Marvel Studios,Streaming,2025-02-06,1
102904,Doces Magnólias,Sweet Magnolias,Sweet Magnolias,,https://image.tmdb.org/t/p/w500/a89igqzEcUckLMlzZhvKtYR1K2C.jpg,"7,8",,"7,3",,,"7,2","7,53505",4,"7,3",Netflix,Daniel L. Paulson Productions,Streaming,2025-02-06,1
46056,heute-show,heute-show,heute-show,,https://image.tmdb.org/t/p/w500/y7SD3fDHBdhEyeXorsXVM5RKU4K.jpg,"6,6","7,6",,,,,"7,93204",4,"7,266019999999999",N/A,Prime Productions,Cinema,2025-02-06,1
8425,Only Connect,Only Connect,Only Connect,,https://image.tmdb.org/t/p/w500/cW1bhhnwWR9qtGgNchYfMnsVHUy.jpg,"6,4",8,,,,,"8,13115",4,"7,265575",N/A,Presentable,Cinema,2025-02-06,1
46129,Löwenzahn,Löwenzahn,Löwenzahn,,https://image.tmdb.org/t/p/w500/2qS4TNPkZycFHXQO1SpqISe6irV.jpg,"7,8",8,,,,,"6,71429",4,"7,2571449999999995",N/A,ZDF,Cinema,2025-02-06,1
78075,The Repair Shop,The Repair Shop,The Repair Shop,,https://image.tmdb.org/t/p/w500/4YjXfhJmwCWWqoHWiPSNkoMPZHd.jpg,"6,7","8,7",,,,,"7,80769",4,"7,253845",N/A,Ricochet,Cinema,2025-02-05,1
75487,Hard Quiz,Hard Quiz,Hard Quiz,,https://image.tmdb.org/t/p/w500/49MQkiiiYDLBkoZJk0Vzeqh7lOk.jpg,"7,7","8,1",,,,,"6,8",4,"7,25",N/A,Thinkative Television,Cinema,2025-02-06,1
77709,Svenska nyheter,Svenska nyheter,Svenska nyheter,,https://image.tmdb.org/t/p/w500/iR17qzo3qurKfycB4owq3C1UFUI.jpg,"7,8","7,6",,,,,"6,69565",4,"7,247825",N/A,SVT,Cinema,2025-02-06,1
2802,Waterloo Road,Waterloo Road,Waterloo Road,,https://image.tmdb.org/t/p/w500/gZoVJ0iVcyFDtrS8a7vFaiQfNa8.jpg,"7,154","7,1",,,,,"7,33333",4,"7,243665",N/A,Shed Productions,Cinema,2025-02-06,1
228272,Milo,Milo,Milo,,https://image.tmdb.org/t/p/w500/x5B0Y2yvMmLFNcj08V724oMu9am.jpg,9,"4,1",,,,,"5,44444",4,"7,22222",N/A,Heartmade Media,Cinema,2025-02-06,1
10557,The Nature of Things,The Nature of Things,The Nature of Things,,https://image.tmdb.org/t/p/w500/k3WnMGbeUKjTbAcMeM99iSLZIoe.jpg,"7,1","8,3",,,,,"7,31579",4,"7,207895",N/A,N/A,Cinema,2025-02-06,1
226285,Elsbeth,Elsbeth,Elsbeth,,https://image.tmdb.org/t/p/w500/4sbCGmIHInP6EiLhvpMC6SxBnYd.jpg,"7,2","7,6",,,,"7,1","7,21043",3,"7,2",N/A,Scott Free Productions,Cinema,2025-02-06,1
33739,Antiques Roadshow,Antiques Roadshow,Antiques Roadshow,,https://image.tmdb.org/t/p/w500/uusKGwqL74Evkk2W3aZTxFjZydC.jpg,"7,5","7,3",,,,,"6,89189",4,"7,195945",N/A,Twin Cities Public Television,Cinema,2025-02-06,1
84910,The Masked Singer,The Masked Singer,The Masked Singer,,https://image.tmdb.org/t/p/w500/sT0TpxenCsghbRZ7NiEJg2ubzZx.jpg,"7,7","5,8",,,,,"6,5979",4,"7,14895",N/A,Endemol Shine North America,Cinema,2025-02-06,1
212907,A Promessa,La promesa,La promesa,,https://image.tmdb.org/t/p/w500/1rUHpa7Bkbo3Iyb3tV4fyWFjTmb.jpg,"7,6","7,1",,7,,,"7,11111",3,"7,11111",Max,N/A,Streaming,2025-02-06,1
63613,In aller Freundschaft - Die jungen Ärzte,In aller Freundschaft - Die jungen Ärzte,In aller Freundschaft - Die jungen Ärzte,,https://image.tmdb.org/t/p/w500/mNGHuwsxs6KlwymfgOdPKisfBBe.jpg,"7,3","6,5",,,,,"6,86364",4,"7,0818200000000004",N/A,N/A,Cinema,2025-02-06,1
